,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
239,601398.SH,20230314,4.1191,4.166,4.1097,4.1378,4.4,-0.2622,-5.9591,2542644.76,1122413.927
240,601398.SH,20230313,4.0721,4.1378,4.0628,4.1284,4.34,-0.2115999999999998,-4.8756,2491912.4,1092169.163
241,601398.SH,20230310,4.0909,4.1097,4.0721,4.0721,4.38,-0.30790000000000006,-7.0297,2221254.32,968749.011
242,601398.SH,20230309,4.1284,4.166,4.1097,4.1097,4.4,-0.2903000000000002,-6.5977,2410878.53,1062348.001
243,601398.SH,20230308,4.1003,4.1378,4.0815,4.1284,4.39,-0.2615999999999996,-5.959,2513977.16,1098665.504
244,601398.SH,20230307,4.0815,4.2035,4.0721,4.1191,4.35,-0.23089999999999922,-5.308,6770934.04,2992988.03
245,601398.SH,20230306,4.1003,4.1097,4.0721,4.0815,4.36,-0.2785000000000002,-6.3876,3218611.78,1401037.315
246,601398.SH,20230303,4.0534,4.1003,4.0534,4.0909,4.32,-0.22909999999999986,-5.3032,3222511.25,1399659.368
247,601398.SH,20230302,4.0346,4.0534,4.0252,4.0534,4.3,-0.24659999999999993,-5.7349,2209294.25,952727.208
248,601398.SH,20230301,4.0346,4.044,4.0252,4.0346,4.3,-0.26539999999999964,-6.1721,2575566.7,1107847.947
249,601398.SH,20230228,4.0252,4.0346,4.0158,4.0346,4.29,-0.25539999999999985,-5.9534,1580501.25,677615.166
250,601398.SH,20230227,4.0252,4.0346,4.0158,4.0252,4.29,-0.26480000000000015,-6.1725,1201801.77,515168.67
251,601398.SH,20230224,4.044,4.044,4.0252,4.0252,4.3,-0.27479999999999993,-6.3907,1391182.56,597341.18
252,601398.SH,20230223,4.044,4.0534,4.0346,4.0346,4.3,-0.26539999999999964,-6.1721,1215628.07,523722.564
253,601398.SH,20230222,4.0534,4.0534,4.0346,4.0346,4.32,-0.2854000000000001,-6.6065,937519.93,404187.271
254,601398.SH,20230221,4.0346,4.0534,4.0346,4.0534,4.31,-0.2565999999999997,-5.9536,1678930.37,724398.198
255,601398.SH,20230220,4.0252,4.044,4.0158,4.044,4.28,-0.23600000000000065,-5.514,2339844.07,1004838.515
256,601398.SH,20230217,4.0158,4.0346,4.0158,4.0158,4.28,-0.26420000000000066,-6.1729,1786395.16,766064.99
257,601398.SH,20230216,4.0252,4.0346,4.0158,4.0158,4.29,-0.27420000000000044,-6.3916,1894246.99,812550.64
258,601398.SH,20230215,4.0346,4.044,4.0158,4.0252,4.3,-0.27479999999999993,-6.3907,2040446.17,875087.611
259,601398.SH,20230214,4.0346,4.044,4.0252,4.0346,4.29,-0.25539999999999985,-5.9534,1064557.57,457865.981
260,601398.SH,20230213,4.0346,4.044,4.0252,4.0252,4.31,-0.2847999999999997,-6.6079,1902540.36,817263.325
261,601398.SH,20230210,4.044,4.044,4.0252,4.044,4.3,-0.2560000000000002,-5.9535,1202376.2,517287.828
262,601398.SH,20230209,4.0252,4.044,4.0252,4.0346,4.3,-0.26539999999999964,-6.1721,1307659.09,562487.646
